name,source,tier,license,availability,history,pit_fidelity,point_in_time_safe,fallback,notes,contract
game_context,nflverse schedules,0,free/public,known at schedule release (months ahead),1999+,retrospective,True,none needed,"home/away, opponent, rest days, div_game, roof, surface, kickoff. Immutable pre-season. ⛔ EXCLUDES temp/wind — those are realized, see DEFERRED.",allowed
prior_week_box,nflverse stats_player_week (lagged),0,free/public,"postgame; complete for Sun games by Tue, MNF lands Tue AM",1999+,retrospective,True,derive from PBP,"carries/targets/receptions/yards/TDs/air yards + native target_share, air_yards_share, wopr.",allowed
snap_share,nflverse snap_counts (lagged),0,free/public (PFR-sourced),postgame,2012+,retrospective,True,PBP participation proxy,"offense_pct is the workload backbone. Upstream is PFR — a licensing re-read is warranted before commercial display, not before fitting.",allowed
participation_proxies,nflverse pbp_participation offense_players (lagged),0,free/public,postgame,2016+,retrospective,True,snap_counts only,"players_on_play is 100% non-null every season 2016-2025 ⇒ per-player DROPBACK participation, red-zone / goal-line / third-down / two-minute participation are all derivable. This is the honest substitute for route participation — an upper bound (blockers included), not routes.",allowed
team_environment,nflverse pbp (lagged),0,free/public,postgame,1999+ (modern PBP fields 2006+),retrospective,True,none needed,"pace, seconds/snap, PROE, no-huddle, early-down pass rate, 4th-down aggressiveness, drive success, team EPA, red-zone tendencies.",allowed
opponent_matchup,nflverse pbp + pbp_participation (lagged),0,free/public,postgame,1999+ / 2016+ for the participation half,retrospective,True,none needed,"defensive EPA/success/explosive allowed, defensive aDOT, YAC allowed, pressure rate (was_pressure), man/zone rate, coverage shell, box counts. ⭐ Appendix A calls the last four GATED; for NFL they are FREE — see the audit doc's correction table.",allowed
pfr_advanced,nflverse pfr_advstats_week_* (lagged),0,free/public (PFR-sourced),postgame,2018+,retrospective,True,PBP proxies,"pressures/hurries/blitzed, yards before+after contact, broken tackles, drops, and the defender-in-coverage block (def_completion_pct, def_passer_rating_allowed, def_adot).",allowed
ngs_qualifying,nflverse nextgen_stats (lagged),0,free/public,postgame,2016+,retrospective,True,PBP-derived proxies,"separation, cushion, YAC-over-expected, intended air yards (aDOT), CPOE, RYOE. ⚠️ QUALIFYING PLAYERS ONLY — ~58 receivers/week, so this is a SPARSE overlay with structural missingness, not a population feature. Must carry an explicit present/absent flag, never impute 0.",allowed
injury_report,nflverse injuries (lagged + current week),0,free/public,Wed-Fri publication; current-week rows ARE pre-kickoff,2009+,prospective_shadow,True,designation-only model,"⚠️ SPLIT FIDELITY: 2009-2024 carry a real `date_modified` as-of timestamp (retrospective). nflverse DROPPED the column in 2025 ⇒ from 2025 the as-of time must come from OUR capture ⇒ prospective_shadow. Also `report_status` is only ~46% non-null: NULL means 'on the report, no designation yet', NOT 'healthy'.",allowed
prior_season_priors,nflverse rosters / draft_picks / combine / players,0,free/public,pre-season,all-time,retrospective,True,none needed,"age, experience, draft capital, athletic measurables — the NF1 season-model prior surface.",allowed
route_participation,FTN / PFF B2B / SIS,2,contracted charting,"postgame, SLA contractual",vendor-dependent,not_pit_validated,False,dropback participation proxy (ALLOWED: participation_proxies),"VERIFIED GATED. nflverse pbp_participation carries a single play-level `route` string for the TARGETED receiver only (~41% of plays, 14 route names) — it is NOT per-player route attribution, so true routes-run / TPRR / YPRR remain unavailable free.",deferred
first_read_share,FTN / PFF / SIS,2,contracted charting,postgame,recent charted seasons,not_pit_validated,False,exclude,No free proxy. Excluded from V1 per v3 §6.,deferred
individual_ol_grades,PFF B2B,2,contracted charting,postgame,vendor-dependent,not_pit_validated,False,unit-level: snap continuity + team pressure rate + YBC,The one genuine NFL charting gap (N0.1 §8). A consumer PFF+ subscription does NOT include API/product rights (v3 A.1).,deferred
weather_forecast,NOT INGESTED (Open-Meteo recommended),0,"free (Open-Meteo, no key)",forecast available 7-15 days ahead — but we capture NONE of it today,none,not_pit_validated,False,roof/surface only (those ARE known pre-season and are in game_context),"🚨 THE TRAP: `schedules.temp`/`.wind` LOOK like weather and are REALIZED game-book conditions — measured 0 of 177 unplayed 2026 games carry a temp vs 173 of 178 played 2024 games. Using them is a hard leak. No NFL weather ingest exists; MLB's Open-Meteo pattern (scripts/ingest_weather.py, free/no key) is directly reusable but must be captured FORWARD.",deferred
market_context,The Odds API (landed 2020-2024 only),1,existing paid sub,continuous pre-kickoff,game lines 2020-2024; props 2023-2024,prospective_shadow,False,omit from V1,"Landed snapshots are taken at kickoff-minus-5min = CLOSING, not Tuesday. A Tuesday model may not use a closing line (v3 §13). 2025 is NOT landed at all. ⇒ deferred until a Tuesday-timestamped capture exists.",deferred
player_props,The Odds API event endpoint,1,"existing paid sub, credit-heavy","1-5 days ahead, sparse early",2023-2024 closing only,not_pit_validated,False,omit from V1,~34.2k credits/season to backfill. Closing props must never be backfilled onto an earlier projection (v3 §13).,deferred
depth_chart_rank,nflverse depth_charts,0,free but source-fragile,≤2024 weekly; 2025+ near-daily dt snapshots,2001+ (schema REPLACED at 2025),not_pit_validated,False,usage-derived role (snap / carry / target share),"🚨 DEFERRED FOR A MEASURED SEMANTIC SHIFT, NOT A PLUMBING GAP. nflverse replaced the feed at 2025: through 2024 it is a weekly team depth chart keyed (season, week, depth_team), ~37k rows/season, NO capture timestamp (backfilled ⇒ not PIT-reconstructible); from 2025 `week`/`depth_team` are 100% NULL and it is a ~554k-row ESPN near-daily snapshot series on a `dt` VARCHAR capture stamp (221 captures in 2025 — genuinely PIT). A translation layer ALREADY EXISTS and works (`stg_nfl_depth_charts` ASOF-buckets dt→week; verified ~590 skill players/week for 2025). What is NOT established is COMPARABILITY: measured RB depth ranks run 1-3 in 2024 (≈1.08 rank-1 RBs per team-week) but 1-6+ in 2025, so 'rank 3' denotes a different player in each era and ranks 4-6 are unseen in training. ⇒ the remaining work is a cross-era comparability/recalibration check, not more plumbing.",deferred
gameday_inactive_status,nflverse weekly_rosters.status == 'INA',0,free/public,~90 min pre-kickoff,2002+,not_pit_validated,False,injury_report report_status == 'Out' (ALLOWED),"LABEL-SIDE ONLY. Available ~90 min pre-kickoff, so it is a leak in any Tue/Fri build and is only admissible in a Sunday-morning model. Used here to BUILD the label, never as a feature.",deferred
